Date, RH_Min, RH_Value, RH_Status, Temp_Max, Temp_Value, Temp_Status
 2018-10-16 22:12:05.222625, 88, 60.9, No Water, 65, 67.82, No Temp Power Draw
 2018-10-16 22:13:19.433949, 48, 58.4, Not Running, 90, 67.82, Not Running
 2018-10-16 22:14:03.358917, 48, 57.5, Not Running, 90, 67.82, Not Running
 2018-10-16 22:15:46.837137, 48, 56.7, Not Running, 90, 67.82, Not Running
 2018-10-16 22:16:03.417942, 48, 56.7, Not Running, 90, 67.82, Not Running
 2018-10-16 22:21:08.523024, 48, 55.4, Not Running, 90, 67.82, Not Running
 2018-10-16 22:21:44.216266, 88, 55.3, Running, 55, 67.82, Not Running
 2018-10-16 22:22:03.320822, 88, 55.2, No Water, 55, 67.82, Not Running
 2018-10-16 22:24:03.471951, 88, 55.1, No Water, 55, 67.82, Running
 2018-10-16 22:39:17.032545, 85, 53.5, No Water, 55, 67.64, No Temp Power Draw
 2018-10-16 22:40:04.054813, 85, 53.6, No Water, 55, 67.82, No Temp Power Draw
 2018-10-16 22:40:28.837379, 45, 53.5, No Water, 95, 67.82, Not Running
 2018-10-16 22:41:27.287436, 45, 53.4, No Water, 95, 67.82, Not Running
 2018-10-16 22:42:03.448214, 45, 53.3, No Water, 95, 67.82, Not Running
 2018-10-16 22:43:50.171143, 25, 53.4, Not Running, 105, 67.82, Not Running
 2018-10-16 22:44:03.425195, 25, 53.3, Not Running, 105, 67.82, Not Running
 2018-10-16 22:44:49.522677, 25, 53.2, Not Running, 105, 67.82, Not Running
 2018-10-16 22:45:20.552219, 95, 53.2, Not Running, 35, 67.82, Not Running
 2018-10-16 22:46:03.495058, 95, 53.3, Not Running, 35, 68.0, Running
 2018-10-16 22:46:17.349659, 95, 53.3, Not Running, 35, 68.0, No Temp Power Draw
 2018-10-16 22:48:03.872128, 95, 53.1, Not Running, 35, 68.18, No Temp Power Draw
 2018-10-16 22:49:39.987411, 95, 52.6, Running, 35, 68.18, No Temp Power Draw
 2018-10-16 22:50:03.431890, 95, 52.7, No Water, 35, 68.18, No Temp Power Draw
 2018-10-16 22:50:10.598899, 25, 52.7, Out of Water, 105, 68.18, Out of Water
 2018-10-16 22:52:03.449688, 25, 52.7, Out of Water, 105, 68.18, Not Running
 2018-10-16 22:54:03.549198, 25, 52.6, Out of Water, 105, 68.0, Not Running
 2018-10-16 22:56:03.434707, 25, 52.6, Not Running, 105, 68.0, Not Running
 2018-10-16 22:58:03.506122, 25, 52.5, Not Running, 105, 67.82, Not Running
 2018-10-16 23:00:03.482206, 25, 52.6, Not Running, 105, 67.82, Not Running
 2018-10-16 23:02:03.405366, 25, 52.8, Not Running, 105, 67.64, Not Running
 2018-10-16 23:06:03.367624, 25, 53.0, Not Running, 105, 67.64, Not Running
 2018-10-16 23:08:03.390949, 25, 52.9, Not Running, 105, 67.46, Not Running
 2018-10-16 23:10:03.471403, 25, 50.4, Not Running, 105, 67.1, Not Running
 2018-10-16 23:12:03.446421, 25, 51.7, Not Running, 105, 66.38, Not Running
 2018-10-16 23:14:03.441177, 25, 52.3, Not Running, 105, 66.38, Not Running
 2018-10-16 23:16:03.462731, 25, 53.1, Not Running, 105, 66.38, Not Running
 2018-10-16 23:18:03.546356, 25, 53.3, Not Running, 105, 66.38, Not Running
 2018-10-16 23:20:03.511432, 25, 53.4, Not Running, 105, 66.56, Not Running
 2018-10-16 23:22:03.492508, 25, 53.3, Not Running, 105, 66.56, Not Running
 2018-10-16 23:24:03.475698, 25, 53.2, Not Running, 105, 66.56, Not Running
 2018-10-16 23:26:03.402759, 25, 53.5, Not Running, 105, 66.74, Not Running
 2018-10-16 23:28:03.449602, 25, 53.2, Not Running, 105, 66.74, Not Running
 2018-10-16 23:30:03.363856, 25, 53.1, Not Running, 105, 66.74, Not Running
 2018-10-16 23:32:03.347450, 25, 53.1, Not Running, 105, 66.92, Not Running
 2018-10-16 23:34:03.502116, 25, 53.0, Not Running, 105, 66.92, Not Running
 2018-10-16 23:36:03.490266, 25, 53.0, Not Running, 105, 66.92, Not Running
 2018-10-16 23:38:03.386659, 25, 52.9, Not Running, 105, 66.74, Not Running
 2018-10-16 23:40:03.495916, 25, 52.9, Not Running, 105, 66.74, Not Running
 2018-10-16 23:42:03.416563, 25, 52.9, Not Running, 105, 66.74, Not Running
 2018-10-16 23:44:03.452508, 25, 53.1, Not Running, 105, 66.74, Not Running
 2018-10-16 23:46:03.425361, 25, 53.0, Not Running, 105, 66.74, Not Running
 2018-10-16 23:48:03.444034, 25, 53.1, Not Running, 105, 66.74, Not Running
 2018-10-16 23:50:03.474034, 25, 53.0, Not Running, 105, 66.74, Not Running
 2018-10-16 23:52:03.407554, 25, 53.0, Not Running, 105, 66.74, Not Running
 2018-10-16 23:54:03.405237, 25, 53.1, Not Running, 105, 66.74, Not Running
 2018-10-16 23:56:03.464852, 25, 53.0, Not Running, 105, 66.74, Not Running
 2018-10-16 23:58:03.352680, 25, 53.0, Not Running, 105, 66.74, Not Running
 2018-10-17 00:00:03.349592, 25, 53.0, Not Running, 105, 66.74, Not Running
 2018-10-17 00:02:03.393030, 25, 53.0, Not Running, 105, 66.74, Not Running
 2018-10-17 00:04:03.395430, 25, 53.0, Not Running, 105, 66.74, Not Running
 2018-10-17 00:06:03.451993, 25, 53.0, Not Running, 105, 66.74, Not Running
 2018-10-17 00:08:03.373138, 25, 53.0, Not Running, 105, 66.74, Not Running
 2018-10-17 00:10:03.451094, 25, 53.0, Not Running, 105, 66.56, Not Running
 2018-10-17 00:12:03.349013, 25, 53.0, Not Running, 105, 66.56, Not Running
 2018-10-17 00:14:03.510827, 25, 53.0, Not Running, 105, 66.56, Not Running
 2018-10-17 00:16:03.491006, 25, 53.1, Not Running, 105, 66.74, Not Running
 2018-10-17 00:18:03.489802, 25, 53.0, Not Running, 105, 66.56, Not Running
 2018-10-17 00:20:03.398866, 25, 53.0, Not Running, 105, 66.56, Not Running
 2018-10-17 00:22:03.392436, 25, 53.0, Not Running, 105, 66.56, Not Running
 2018-10-17 00:24:03.401757, 25, 53.0, Not Running, 105, 66.56, Not Running
 2018-10-17 00:26:03.442540, 25, 53.1, Not Running, 105, 66.56, Not Running
 2018-10-17 00:28:03.438531, 25, 53.0, Not Running, 105, 66.56, Not Running
 2018-10-17 00:30:03.494776, 25, 53.1, Not Running, 105, 66.56, Not Running
 2018-10-17 00:32:03.405334, 25, 53.0, Not Running, 105, 66.56, Not Running
 2018-10-17 00:34:03.491672, 25, 53.1, Not Running, 105, 66.56, Not Running
 2018-10-17 00:36:03.396131, 25, 53.1, Not Running, 105, 66.56, Not Running
 2018-10-17 00:38:03.391708, 25, 53.1, Not Running, 105, 66.56, Not Running
 2018-10-17 00:40:03.480830, 25, 53.1, Not Running, 105, 66.56, Not Running
 2018-10-17 00:42:03.385009, 25, 53.0, Not Running, 105, 66.38, Not Running
 2018-10-17 00:44:03.447231, 25, 53.0, Not Running, 105, 66.38, Not Running
 2018-10-17 00:46:03.447553, 25, 53.0, Not Running, 105, 66.38, Not Running
 2018-10-17 00:48:03.511713, 25, 53.1, Not Running, 105, 66.38, Not Running
 2018-10-17 00:50:03.431295, 25, 53.0, Not Running, 105, 66.38, Not Running
 2018-10-17 00:52:03.517848, 25, 53.1, Not Running, 105, 66.38, Not Running
 2018-10-17 00:54:03.412979, 25, 53.1, Not Running, 105, 66.38, Not Running
 2018-10-17 00:56:03.451849, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 00:58:03.381374, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 01:00:03.447652, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 01:02:03.459229, 25, 53.1, Not Running, 105, 66.38, Not Running
 2018-10-17 01:04:03.360094, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 01:06:03.418109, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 01:08:03.429137, 25, 53.1, Not Running, 105, 66.38, Not Running
 2018-10-17 01:10:03.611487, 25, 80.4, Not Running, 105, 100.58, Not Running
 2018-10-17 01:12:03.402024, 25, 53.0, Not Running, 105, 66.38, Not Running
 2018-10-17 01:14:03.455622, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 01:16:03.393835, 25, 53.0, Not Running, 105, 66.2, Not Running
 2018-10-17 01:18:03.488112, 25, 53.1, Not Running, 105, 66.2, Not Running
 2018-10-17 01:20:03.388240, 25, 53.0, Not Running, 105, 66.2, Not Running
